,PC1,PC2,PC3,PC4,PC5
Denmark,-4.2590926445760005,-0.0847155201127945,0.13003218661217208,1.2273239525871102,-0.10500416774452784
New Zealand,-3.876772422176518,0.002315286760757568,-0.21485724864653055,0.49116382118705804,-0.23102221592664227
Finland,-4.008061014752857,0.07510426187638991,-0.06937356830866104,0.7028378568563838,-0.22764762465230112
Singapore,-2.4185400909437678,-0.9721869474165273,0.5138814406812929,0.4394124550764334,1.8548497038932052
Sweden,-4.261532838260021,-0.03962049717389421,0.2025932989809811,0.8444819853305936,-0.3716652106859282
Switzerland,-4.434418813737713,-0.1985452620422873,-0.05071450523931609,1.190385743361081,1.292701666701422
Norway,-4.5372970771150785,-0.03508046926412489,0.011277323802556083,1.0516751321738442,0.09199077728172012
Netherlands,-3.8804666755822135,-0.08362456282486537,-0.06163677404853285,0.6042144863285989,0.0364853445650645
Germany,-3.4676277102889737,-0.0753007888580907,-0.10087355032579814,0.3885294259341535,0.030472740989671454
Luxembourg,-4.716282764141897,-0.296861427755408,-0.09677098675213269,2.114432575190772,2.0061067356559175
Australia,-3.791081988129335,-0.0844024062943006,0.10461950892740046,0.45371651691507475,0.08074568571622287
Canada,-3.4282240526546985,0.15028297103364377,-0.22157974752169984,0.1273280512658434,-0.053458379838098424
United Kingdom,-3.4342232683334046,-0.10964841106624362,0.1890849717108547,0.48158042312874816,-0.455732315493424
Austria,-3.01780365190464,-0.08863972259058132,-0.3008107828601107,0.19309660394865735,0.48226926784677926
Belgium,-3.1780851342036547,-0.1573308653457443,0.2717680063874485,0.44297627419762475,-0.1581793198887962
Estonia,-2.8135889573366306,-0.05843356333957711,0.3490920167191536,0.5254201806534047,-1.331946414308497
Japan,-3.4786894253658556,-0.2835395560242636,0.3602130909604244,0.20902394868941981,-0.511381969118323
Ireland,-4.011689691861925,-0.04455359219801236,-0.33696014473828884,0.9160583470683779,1.4954726842458654
Uruguay,-2.1299697990271373,1.3129497530677856,-0.0786396568167449,0.21629519127157443,-0.8952729311664499
France,-3.0759493184659252,-0.21591280992707712,0.30220580368655026,0.28862483929080024,-0.3822021874166138
Chile,-1.7989176858386247,0.47365523408117594,-0.6844881571254383,-0.6831353900478252,-0.1954203749623324
United States,-2.5819544992827845,0.25170179032275447,-0.19493586290352982,0.48715895041887347,1.3459242522147852
Spain,-2.50583513936983,-0.16290511806862956,-0.03889640311994769,-0.5253963061493676,-0.2592230278344903
South Korea,-2.57938994169036,-0.28685333638421634,0.227110391186628,-0.26998309883359606,-0.21201015375577686
Portugal,-1.9514403286602418,0.0273170132103579,-0.7582571574559509,-0.7440565611048792,0.0811775614347964
Israel,-2.535467897213439,-0.2957267755355207,0.3047310107042242,-0.04522717473878246,0.5066715046813695
Lithuania,-1.782345627197174,0.22259030643401848,0.11184674017412788,0.16144952433144266,-0.756716428651488
Slovenia,-2.3007334725377047,-0.1749539371288199,-0.010069974961558648,-0.4462072169946215,-0.45683625054425725
Costa Rica,-1.2062909507886956,1.223669211659996,-0.5136634835614191,-0.8195444691769065,0.07238799052822359
Cyprus,-1.7646716515002336,0.021755166348726537,-0.5792466522158026,-0.7758056776216047,0.3125770257152063
Latvia,-1.6707887418283263,0.21224711266561005,0.11104032025132071,0.1869715155485201,-0.957285447581105
Georgia,0.10807890842506218,-0.3802813177785676,-0.21594036936539565,-0.4225219354748839,0.006876318706994816
Poland,-1.2093844979691204,-0.21303485682769718,-0.43344127217775125,-0.754628466858188,0.053326585024214904
Czech Republic,-2.3682622484528206,-0.25892053295275336,0.4747335494516203,0.03165761775770848,-1.2695767317229742
Oman,0.9211285853063444,-1.3188467195512201,0.5092384773769936,-0.6486107061500139,1.3257195042192274
Rwanda,2.245136865802081,-0.9067562454490681,-0.27543105457152994,0.553599796442956,0.46572851743786414
Italy,-2.0521943456317713,-0.12712410872891364,-0.43115055687187975,-0.8087046648126539,0.4341284747691464
Malta,-1.7973669888219006,0.0354424971780123,-0.6668031812795471,-0.9195739500765167,0.8554606382960162
Namibia,1.1713248335008575,1.8552019553240064,-0.9294367613788168,0.5435820578823541,-0.14134577527180375
Greece,-1.5221495891700774,-0.12896113018036692,-0.30782303033847747,-1.0868841704989916,0.012269812152987322
Armenia,0.27195084941806835,-0.5023272836891443,-0.11322044143288915,-0.4843206075503292,-0.015005097885752883
Jordan,1.2293687424838597,-0.926407441548812,0.03457874046717346,-0.41790788048989286,0.6843939090322676
Slovakia,-1.5635886328396804,-0.16689627653429007,-0.053612452702360425,-0.19275015076151436,-0.7318122306055498
Belarus,0.7592530190367305,-1.4929357146628075,2.2062855369867838,0.33822044325097933,-0.5406164809010504
Croatia,-0.9514767992323234,-0.24546576139566081,-0.33620623249462295,-0.7720720204207262,-0.2160616913864145
Montenegro,-0.23193007748197714,-0.3738979219864388,0.09317650725894813,-0.6467175200514792,-0.14991035657781032
Senegal,1.451741092925048,-0.21166601472024404,-1.7115976461358828,0.22265186270654536,-0.285248850580014
Bulgaria,-0.9361463264251471,-0.30076368637859163,0.3306422946675455,-0.024967861394296853,-1.3525988888944935
Hungary,-1.022761622791468,-0.31825171309696826,0.621375385530441,-0.12403615906682697,-0.844273579235755
Jamaica,0.47610229558375855,4.535924929405479,1.2705164882427973,-0.033013301747694034,0.021085588310932935
Romania,-0.4634727430474729,-0.1092201985973493,-0.6709605037544994,-0.7807061940833844,0.05852624419237212
South Africa,1.1811911492459612,3.9162571379359545,0.18351620660997842,0.5504806793163701,-0.017233117288176558
Tunisia,0.1843837843479288,0.04529524862580878,-0.798358419044682,-0.9455768896202227,0.11231179848804224
Ghana,1.109435667044219,0.25193629852560506,-1.8361523095780248,0.23884855338814398,-0.46745459513982124
Argentina,-0.6205677384895804,0.3346121602292047,-0.09344299315927085,-0.793681320178269,-0.5492561649383445
Benin,2.0237377823717715,-0.2747753147830044,-1.5314899741671772,0.7890542436289913,-0.42041162632643025
Burkina Faso,2.4480617243490093,-0.5012632875680049,-1.2634583596782631,1.1264329915400966,-0.45327085617533314
India,0.911831419565843,0.10834312638572349,-1.1399820662286593,-0.2056616029432311,-0.26712643243836387
Turkey,0.6797385767001366,-0.8194073894432354,0.6940376592393087,-0.7847961673886596,0.5300561625337706
Colombia,0.39405562901888636,2.3703427042251204,0.6110138098134803,-0.7256066819273195,0.31383422811204015
Ecuador,0.2779346626723305,0.17123831182900995,-0.17836901993237225,-0.8576760786620174,-0.02126175946335265
Brazil,0.46715138394383005,2.7107411066523106,0.452691776350933,-0.6570243172110526,0.3610222465301462
Kazakhstan,0.9040745630558851,-0.903997276295307,1.6479936450871993,0.09176135806102917,-0.13136825651303324
Peru,0.1773224021220548,0.5057117892886327,-0.22169813583122858,-0.9112640261388868,0.02127422694068403
Serbia,-0.30172925322757616,-0.45683123351119065,0.27106541652970156,-0.42651976063250463,-0.7321830450382926
Sri Lanka,0.5490479215818043,-0.23937336259753983,-0.48211210776685115,-1.2162140596631403,0.472839415910559
Tanzania,2.208582762762797,-0.029981009060796926,-0.5870170055791352,0.6185245647035761,-0.05692387154220388
Indonesia,0.8573218058189379,-0.3198966908609203,-0.9966028333162049,-0.6497945680449735,0.17746866699799796
Albania,-0.34174770935291765,-0.37981283906760244,0.48782826329539114,-0.63576419306137,-0.8456386674054455
Algeria,1.3815837256596089,-0.9587767994250065,0.3213129995754096,-0.9203008537653725,0.6430424701843094
Thailand,0.8452413931325207,-0.5405957575532254,0.05207907251344024,-1.029782658861315,0.7537861516460835
Vietnam,0.9039981494025336,-1.4482818036086968,1.8000184124141905,0.4763183107543434,-0.9360343427590581
Bosnia and Herzegovina,0.4805238483015898,-0.6899365032203247,0.23233768918151423,-0.797514980744995,0.021014803773210328
North Macedonia,0.13196167783149454,-0.37991712670862765,-0.24900355343698485,-0.6829824572888511,-0.2312343513456076
Panama,-0.3086930387287401,0.8615786223816325,-0.37332243286141475,-1.1216471180556562,0.24717939623730048
Moldova,0.5897909985277283,-0.08942215519698239,-0.11536701267887092,-0.32713446640753263,-0.46740464222136774
Philippines,1.0513034935844683,0.33698250126680274,-0.6220772645450092,-0.6044914508255601,0.15492208221728432
Egypt,2.1196702516291213,-1.021701340389944,0.42884717582853626,-0.35776485715715445,0.7325697207408262
Nepal,1.5411749793325962,-0.287583934879209,-0.8270118505639001,-0.2569766980816369,-0.06820897915407956
Ukraine,0.26933478763876345,0.015799037628832446,0.6351952154889154,-0.044712845580535066,-1.0831888370617804
Zambia,2.1503605449423073,0.05690628828129432,-0.8986251342041509,0.35280338667787375,-0.13225474961092448
Niger,3.1576946457013757,-0.24499123706555392,-1.210529355632711,0.9146169298371294,-0.08613861060160533
Bolivia,1.143352590051972,0.1737389922355848,-0.37044601929398896,-0.527354769466087,-0.06072872806199911
Kenya,1.9991771517367272,-0.06039119597483322,-0.6965780151488807,0.07892685641465125,-0.0308684736484533
Kyrgyzstan,1.632907076378093,-0.8581710670938977,0.5343137790305987,-0.17476123287807407,-0.2246876559818869
Mexico,0.7508229155965235,2.580001054058344,1.2395533362871574,-0.3854146744340108,0.19244236484612073
Pakistan,2.382664112968871,-0.4000285829402224,-0.4793929978366258,0.2084069369311382,0.005818072817572656
Azerbaijan,1.350365394138635,-1.4471833454318541,1.9481897302493736,0.3334845178662424,-0.6307382831896984
Malawi,2.0116523641339445,-0.023945027627567728,-1.777016834463506,0.40536255405185245,-0.33355227150062633
Russia,0.8947735526271426,-0.6474084055772301,2.237571188211117,0.3660150408301282,-0.592697093056082
Dominican Republic,0.6388284715944583,0.7084126270358202,-0.1823267413927096,-0.7286604256936843,0.09101996423896225
Liberia,2.2660080105694886,-0.0031387331994942314,-1.401092820389806,0.46237781956059854,-0.3998734204959671
Paraguay,0.807870638488644,0.3829156229318568,-0.4279912877886204,-0.8207550187166301,0.12367503768079818
Angola,2.746420078756755,-0.40071802830677966,-0.3085306315676334,0.7642784881475978,-0.12588580736256447
Uganda,2.6801993887722237,0.4251664074972274,-0.40055168366905686,0.5266630244373762,-0.004366337128694997
Cameroon,3.3414377648099207,-0.9938207318660474,-0.33287955568838246,0.8576725443787784,0.13696258351871315
Bangladesh,1.6681656684698576,-0.3551897285578491,-0.6202907805590034,-0.6572135608620215,0.3052624459007347
Mozambique,2.9992358608363965,-0.4093030916837104,-0.7925952385479355,1.0022074512691452,-0.46323795934562506
Guatemala,1.6863439488619705,1.71872041742732,0.6893827139569111,-0.43147368054654556,0.380505782942403
Iran,1.5453157927257868,-1.3487497118175025,1.506612196082617,-0.44637575124079104,0.5329038292858667
Tajikistan,2.6067350959899094,-1.4002832362728828,0.8913582430610658,-0.12510036511010114,0.3832030014814482
Central African Republic,4.815937982084773,0.8353683788064121,0.355618277750378,1.9825931917364252,0.20027534068779373
Nigeria,3.660675139934264,3.135650613350975,0.3220608978157645,1.3954477512394856,0.15171325387853196
Iraq,2.165232297715386,-0.0233584075778632,0.6952639099733295,-0.11836353470746194,0.2604761275615288
Cambodia,2.6354735776891145,-0.9643868790262214,0.0019474724476380434,-0.14012535795576703,0.3650296808721294
Zimbabwe,3.0624089242248695,-0.21398272339055835,-0.011763204013183814,0.7222558362270968,-0.06574025300665484
Haiti,2.7918213970552808,-0.08627296103677023,-0.34770197830385097,0.5785354543586343,-0.2926572478912159
Nicaragua,1.8478078570545364,-0.42883285651114816,0.9646878806657205,-0.30478249863549994,-0.1319267619581123
Sudan,3.3610323340660937,-0.7022703154172059,0.08200969629660265,0.5002460025202533,0.22866533212476708
Burundi,3.990765388433884,-0.5979787499199128,-0.17375950404098478,0.9014236503107109,0.22541794863333253
Turkmenistan,2.748940918100419,-1.2193108931396635,1.3120417699414442,0.1697583961327993,0.4566552755188885
Yemen,3.8062645822576378,-0.6471560158636408,0.20549339694320523,0.4388259406448674,0.46899524231191686
Venezuela,2.9194736875373457,2.503142306929709,2.670850358605838,-0.047151647168363536,0.7733161120554346
